K,runtime_s_mean,runtime_s_std,runtime_s_n,runtime_s_se,runtime_s_ci95_lo,runtime_s_ci95_hi,test_PR_AUC_mean,test_PR_AUC_std,test_PR_AUC_n,test_PR_AUC_se,test_PR_AUC_ci95_lo,test_PR_AUC_ci95_hi,test_ROC_AUC_mean,test_ROC_AUC_std,test_ROC_AUC_n,test_ROC_AUC_se,test_ROC_AUC_ci95_lo,test_ROC_AUC_ci95_hi,test_LogLoss_mean,test_LogLoss_std,test_LogLoss_n,test_LogLoss_se,test_LogLoss_ci95_lo,test_LogLoss_ci95_hi,test_Brier_mean,test_Brier_std,test_Brier_n,test_Brier_se,test_Brier_ci95_lo,test_Brier_ci95_hi,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Precision_n,youden_test_Precision_se,youden_test_Precision_ci95_lo,youden_test_Precision_ci95_hi,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Sensitivity_n,youden_test_Sensitivity_se,youden_test_Sensitivity_ci95_lo,youden_test_Sensitivity_ci95_hi,youden_test_Specificity_mean,youden_test_Specificity_std,youden_test_Specificity_n,youden_test_Specificity_se,youden_test_Specificity_ci95_lo,youden_test_Specificity_ci95_hi,youden_val_thr_mean,youden_val_thr_std,youden_val_thr_n,youden_val_thr_se,youden_val_thr_ci95_lo,youden_val_thr_ci95_hi,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Precision_n,f1_test_Precision_se,f1_test_Precision_ci95_lo,f1_test_Precision_ci95_hi,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Sensitivity_n,f1_test_Sensitivity_se,f1_test_Sensitivity_ci95_lo,f1_test_Sensitivity_ci95_hi,f1_test_Specificity_mean,f1_test_Specificity_std,f1_test_Specificity_n,f1_test_Specificity_se,f1_test_Specificity_ci95_lo,f1_test_Specificity_ci95_hi,f1_val_thr_mean,f1_val_thr_std,f1_val_thr_n,f1_val_thr_se,f1_val_thr_ci95_lo,f1_val_thr_ci95_hi
1,11.975517294406892,2.863735835451603,100,0.2863735835451603,11.407289975450036,12.543744613363748,0.8535583140464026,0.03693245139539293,100,0.0036932451395392933,0.8462301144341646,0.8608865136586406,0.9131619609495716,0.023130662205419872,100,0.0023130662205419874,0.9085723357446303,0.9177515861545129,0.24179428980000414,0.052597369904116176,100,0.005259736990411617,0.23135783050274328,0.252230749097265,0.06407997191884285,0.01832158860806143,100,0.0018321588608061431,0.06044457124923204,0.06771537258845366,0.8102099179183742,0.07244044679107989,100,0.007244044679107988,0.7958361616680387,0.8245836741687096,0.8028571428571429,0.044296031320083515,100,0.004429603132008351,0.7940678492338117,0.8116464364804742,0.9510324483775812,0.025330521704308134,100,0.0025330521704308136,0.9460063233217596,0.9560585734334027,0.21413070123441322,0.11286629954080181,100,0.01128662995408018,0.1917355787532443,0.23652582371558215,0.8634767433408147,0.052747538149700846,100,0.0052747538149700846,0.853010487405706,0.8739429992759234,0.7745238095238095,0.05358331865271788,100,0.005358331865271787,0.7638917166045116,0.7851559024431074,0.9686725663716814,0.015312277911811563,100,0.0015312277911811562,0.9656342782316796,0.9717108545116833,0.3131257002824008,0.14380995668923366,100,0.014380995668923365,0.2845906848954322,0.34166071566936934
2,13.138884735107421,3.348879905362822,100,0.3348879905362822,12.47439430740262,13.803375162812223,0.877025449982401,0.03090736928297484,100,0.0030907369282974838,0.870892757376379,0.883158142588423,0.9226086880179801,0.021128401278239308,100,0.0021128401278239306,0.9184163548203599,0.9268010212156004,0.20448942073507914,0.027260751302412015,100,0.0027260751302412016,0.1990802962503564,0.2098985452198019,0.052052121410878414,0.008153615870101905,100,0.0008153615870101905,0.05043426712826039,0.053669975693496436,0.8307884550813207,0.07055209831510807,100,0.007055209831510807,0.8167893881366378,0.8447875220260036,0.8114285714285714,0.04888645259198201,100,0.004888645259198201,0.8017284386349778,0.821128704222165,0.9566371681415928,0.023619296262466696,100,0.0023619296262466696,0.95195058733874,0.9613237489444456,0.21305849823941045,0.10001104315878818,100,0.010001104315878818,0.19321413752125963,0.23290285895756127,0.8947319063521856,0.044964455365651884,100,0.004496445536565188,0.8858099828966478,0.9036538298077234,0.785,0.047733748343197234,100,0.004773374834319723,0.7755285887374669,0.7944714112625332,0.976401179941003,0.011724682171856347,100,0.0011724682171856348,0.9740747486292669,0.978727611252739,0.36117859369079147,0.12334177431947783,100,0.012334177431947783,0.33670490974644607,0.3856522776351369
3,16.605744197368622,4.535422116220318,100,0.45354221162203184,15.705818052808192,17.50567034192905,0.8808598033414827,0.0283517483571077,100,0.00283517483571077,0.8752342013717542,0.8864854053112112,0.9255250035117293,0.02065917130260461,100,0.002065917130260461,0.9214257757212937,0.9296242313021649,0.2022263505842707,0.02663468703981121,100,0.0026634687039811212,0.19694145083181144,0.20751125033672993,0.05160808776813143,0.008057139754398677,100,0.0008057139754398677,0.05000937643993356,0.0532067990963293,0.8352485408665832,0.06604306300529819,100,0.006604306300529819,0.822144164351603,0.8483529173815634,0.8115476190476191,0.04603096854595434,100,0.0046030968545954344,0.8024140762389367,0.8206811618563015,0.9582890855457227,0.02168914238365036,100,0.002168914238365036,0.9539854891474217,0.9625926819440237,0.19168500551749929,0.08833446442482061,100,0.008833446442482061,0.17415753134539563,0.20921247968960294,0.8923471168438819,0.0433507970634305,100,0.00433507970634305,0.8837453782040777,0.9009488554836861,0.7855952380952381,0.049750718517335354,100,0.0049750718517335354,0.775723616191668,0.7954668599988083,0.9758112094395279,0.011520496017769647,100,0.0011520496017769647,0.9735252930906136,0.9780971257884422,0.352720895207409,0.15847554934898397,100,0.015847554934898398,0.32127590806438666,0.38416588235043136
4,18.47588762998581,5.151477472315338,100,0.5151477472315338,17.453722737357445,19.498052522614174,0.8786096147478097,0.029532786285087324,100,0.002953278628508732,0.8727496692303648,0.8844695602652547,0.9234074308189352,0.021976520323746154,100,0.0021976520323746156,0.9190468124026091,0.9277680492352612,0.2023177153818464,0.026890869369016926,100,0.0026890869369016928,0.19698198349735646,0.20765344726633633,0.05151570061648765,0.008045672899775813,100,0.0008045672899775813,0.04991926456102219,0.05311213667195311,0.8367389979515883,0.06649920179484646,100,0.006649920179484646,0.8235441136047583,0.8499338822984184,0.8072619047619048,0.046760386059044125,100,0.004676038605904412,0.7979836296937968,0.8165401798300129,0.9589675516224189,0.021424418289422865,100,0.0021424418289422865,0.9547164822276438,0.9632186210171939,0.19939858424298357,0.09023750710173918,100,0.009023750710173918,0.18149350511696652,0.21730366336900062,0.8971850465337188,0.04217529729113588,100,0.004217529729113588,0.8888165525513919,0.9055535405160456,0.7832142857142856,0.051637088862084866,100,0.005163708886208486,0.7729683670092133,0.7934602044193579,0.9771091445427729,0.01103829299637672,100,0.001103829299637672,0.9749189077347741,0.9792993813507717,0.3525693756241196,0.14204131394489655,100,0.014204131394489655,0.32438529732861243,0.3807534539196268
5,21.7490185880661,5.980165691537916,100,0.5980165691537916,20.562423974221595,22.935613201910606,0.8795311322975988,0.02834142822523872,100,0.002834142822523872,0.87390757806593,0.8851546865292677,0.9249694479561736,0.020164505265442275,100,0.0020164505265442274,0.9209683726393693,0.928970523272978,0.20268266282271027,0.026616597266861917,100,0.0026616597266861915,0.19740135247366467,0.20796397317175588,0.05186112060720829,0.00823874701015129,100,0.000823874701015129,0.050226374459470875,0.0534958667549457,0.834085864178983,0.07031169256414149,100,0.007031169256414149,0.8201344989509328,0.8480372294070332,0.8086904761904762,0.0471129612573933,100,0.004711296125739331,0.7993422425538408,0.8180387098271116,0.9578466076696165,0.02305355815668446,100,0.002305355815668446,0.9532722815807289,0.9624209337585041,0.19086427197652928,0.08476503381985713,100,0.008476503381985714,0.17404505027581363,0.20768349367724492,0.8986756130385022,0.04192243532142517,100,0.0041922435321425176,0.8903572923568465,0.9069939337201579,0.7838095238095238,0.050357752632429524,100,0.005035775263242953,0.7738174531678176,0.7938015944512301,0.9774631268436578,0.010848744463888083,100,0.0010848744463888083,0.9753105005767901,0.9796157531105254,0.36169176408766335,0.14878118162295179,100,0.014878118162295178,0.3321703498223315,0.3912131783529952
6,24.49448710203171,6.630697708997671,100,0.663069770899767,23.17881282252787,25.810161381535547,0.8816041551691716,0.028718975365894486,100,0.0028718975365894486,0.8759056873938516,0.8873026229444916,0.9245571709509762,0.02111392496874817,100,0.002111392496874817,0.9203677101672249,0.9287466317347276,0.2012215435340211,0.027808180991858514,100,0.0027808180991858514,0.19570379712233824,0.20673928994570398,0.0512609089382192,0.00836531227191217,100,0.000836531227191217,0.049601049496695,0.052920768379743396,0.8280955056778009,0.06784261323168389,100,0.006784261323168389,0.8146340593563781,0.8415569519992236,0.8153571428571429,0.047963371533059906,100,0.004796337153305991,0.8058401693720294,0.8248741163422564,0.9558407079646019,0.02355204909000236,100,0.0023552049090002363,0.9511674704597041,0.9605139454694996,0.18231204445033833,0.08248492512789116,100,0.008248492512789116,0.16594524578142852,0.19867884311924813,0.8968311822412562,0.041205485045572386,100,0.004120548504557239,0.8886551200486797,0.9050072444338327,0.7886904761904762,0.05048990960429637,100,0.005048990960429637,0.7786721827383851,0.7987087696425672,0.9769321533923303,0.010585147600783308,100,0.0010585147600783308,0.9748318304618785,0.9790324763227821,0.3589077790552349,0.1358818106074741,100,0.013588181060747408,0.3319458798532744,0.3858696782571954
7,25.393222723007202,6.217741038982421,100,0.6217741038982421,24.159488005994856,26.62695744001955,0.882588508113608,0.028937854766807047,100,0.0028937854766807047,0.8768466099165235,0.8883304063106925,0.9258561595729737,0.020944619146944635,100,0.0020944619146944636,0.9217002927373849,0.9300120264085626,0.20113489834970544,0.027362281806271697,100,0.0027362281806271697,0.19570562801029653,0.20656416868911434,0.05126888122246893,0.008172129963470911,100,0.0008172129963470911,0.0496473533420603,0.05289040910287755,0.8229718309343574,0.06907866432457806,100,0.006907866432457806,0.8092651252597799,0.836678536608935,0.8182142857142857,0.04755451977171112,100,0.004755451977171112,0.8087784372887276,0.8276501341398438,0.9540117994100296,0.023333235581053362,100,0.0023333235581053362,0.949381979252501,0.9586416195675581,0.17144149672954537,0.08140716842802177,100,0.008140716842802178,0.15528854837199224,0.1875944450870985,0.8944030077392909,0.04409346833708186,100,0.004409346833708186,0.8856539070064232,0.9031521084721587,0.7910714285714286,0.05029104577498529,100,0.005029104577498529,0.7810925940174552,0.8010502631254021,0.976165191740413,0.011464512289050719,100,0.001146451228905072,0.9738903837778525,0.9784399997029736,0.3341634252569399,0.13704815383140728,100,0.013704815383140728,0.3069700982553498,0.36135675225853003
8,27.162645189762117,6.278707243141369,100,0.6278707243141369,25.916813455173163,28.40847692435107,0.8835021862238744,0.027686740771063385,100,0.0027686740771063383,0.8780085361866622,0.8889958362610867,0.9277430116589409,0.019774442668331126,100,0.0019774442668331125,0.9238193332238732,0.9316666900940086,0.20015373607265688,0.027658653890647776,100,0.0027658653890647775,0.1946656590818684,0.20564181306344537,0.0511360801962287,0.008468610729804241,100,0.0008468610729804241,0.04945572409958228,0.05281643629287512,0.8249139862340392,0.07106490802845902,100,0.007106490802845903,0.8108131667167394,0.839014805751339,0.8198809523809524,0.047427917292382264,100,0.004742791729238227,0.810470224633954,0.8292916801279507,0.9543952802359883,0.025487638854595974,100,0.0025487638854595975,0.9493379797288681,0.9594525807431085,0.18508954845767212,0.08804974150197784,100,0.008804974150197783,0.16761856949056947,0.20256052742477476,0.8955020793246335,0.04102229475827158,100,0.004102229475827158,0.8873623660593999,0.9036417925898672,0.7894047619047619,0.05241851707388089,100,0.00524185170738809,0.7790037908892603,0.7998057329202636,0.976519174041298,0.010972804115769511,100,0.001097280411576951,0.9743419316480032,0.9786964164345927,0.34875568195587975,0.14973270434248334,100,0.014973270434248334,0.3190454649395565,0.378465898972203
9,29.81673432350159,6.858079613890988,100,0.6858079613890988,28.455942540980416,31.17752610602276,0.8848324606481465,0.027866879153058726,100,0.0027866879153058727,0.8793030672478156,0.8903618540484773,0.9279375614552606,0.01962317387679682,100,0.001962317387679682,0.9240438980302338,0.9318312248802875,0.19944887328879177,0.027654836667313727,100,0.002765483666731373,0.193961553717928,0.20493619285965553,0.05093936774515615,0.00848648549834753,100,0.0008486485498347531,0.0492554649066348,0.0526232705836775,0.8193018876906187,0.06251998491940397,100,0.006251998491940397,0.8068965663016179,0.8317072090796196,0.8244047619047619,0.045256919958622736,100,0.004525691995862274,0.815424807128913,0.8333847166806108,0.9531268436578171,0.021485050580803168,100,0.002148505058080317,0.948863743501005,0.9573899438146292,0.16838849065815142,0.06567588104103128,100,0.006567588104103128,0.1553569710109527,0.18142001030535015,0.8903392220716441,0.04272133349209618,100,0.004272133349209618,0.8818623826607047,0.8988160614825834,0.7928571428571429,0.05647558131378003,100,0.005647558131378003,0.781651162277793,0.8040631234364929,0.975014749262537,0.01149341773226191,100,0.0011493417732261909,0.9727342058329351,0.9772952926921388,0.33779376590482535,0.14604689889901118,100,0.014604689889901119,0.3088148926526208,0.3667726391570299
10,31.323451528549196,7.3559877864113945,100,0.7355987786411394,29.863863962403183,32.78303909469521,0.8846101481070542,0.027915105785848916,100,0.0027915105785848915,0.8790711854964932,0.8901491107176152,0.9286205927798847,0.020039859439748835,100,0.0020039859439748833,0.9246442498991089,0.9325969356606606,0.20083492717089144,0.027140495411189736,100,0.0027140495411189735,0.19544966406395783,0.20622019027782504,0.051270205852673924,0.008382255618057536,100,0.0008382255618057536,0.0496069844836859,0.05293342722166195,0.8205463410262271,0.07472219351289829,100,0.007472219351289828,0.8057198367234258,0.8353728453290284,0.8226190476190476,0.04638553894315334,100,0.004638553894315334,0.8134151503510999,0.8318229448869953,0.9528613569321535,0.02517731184905144,100,0.002517731184905144,0.9478656320355269,0.95785708182878,0.17693812254952085,0.06418059079351586,100,0.006418059079351586,0.16420330092798832,0.18967294417105338,0.8856075595562224,0.044743219168139683,100,0.004474321916813968,0.8767295341620255,0.8944855849504193,0.7925,0.05091005668427187,100,0.005091005668427187,0.7823983402520842,0.8026016597479158,0.9738938053097346,0.012147187001285234,100,0.0012147187001285233,0.9714835398735305,0.9763040707459386,0.336258439805836,0.15187859324650696,100,0.015187859324650697,0.3061224318755542,0.36639444773611773
11,35.33337500095367,8.615045977381904,100,0.8615045977381903,33.62396297425192,37.04278702765543,0.8849757492293919,0.028749486761086435,100,0.0028749486761086435,0.8792712273313162,0.8906802711274676,0.9288323500491642,0.020951748612966996,100,0.0020951748612966998,0.9246750685728415,0.9329896315254869,0.199779365734633,0.028479419724523773,100,0.0028479419724523774,0.19412843099575855,0.20543030047350747,0.05112250070629508,0.008459097904410592,100,0.0008459097904410592,0.04944403216058901,0.052800969252001145,0.808922379476405,0.08121138564570914,100,0.008121138564570914,0.7928082786704012,0.8250364802824088,0.825,0.05088882227492966,100,0.005088882227492967,0.8149025536195815,0.8350974463804184,0.9482005899705015,0.02940696735377501,100,0.0029406967353775007,0.9423656096586907,0.9540355702823123,0.17397403905129127,0.09638378170652383,100,0.009638378170652382,0.15484940569928235,0.1930986724033002,0.8940998233224142,0.0411397652629476,100,0.0041139765262947605,0.8859368013605116,0.9022628452843169,0.7892857142857143,0.05381471666149569,100,0.005381471666149569,0.7786077069812583,0.7999637215901703,0.9761356932153391,0.011490664323171144,100,0.0011490664323171144,0.9738556961218365,0.9784156903088417,0.3538173666501415,0.15170938815527116,100,0.015170938815527116,0.32371493268089224,0.3839198006193908
12,36.78793118238449,8.176530988685084,100,0.8176530988685083,35.16553004309243,38.41033232167655,0.886193828640935,0.028842424606024354,100,0.0028842424606024355,0.8804708658581223,0.8919167914237477,0.9300755021772722,0.02089260564255383,100,0.002089260564255383,0.9259299559493956,0.9342210484051487,0.19839897469345597,0.02833169076267426,100,0.002833169076267426,0.1927773525856157,0.20402059680129622,0.05078387742638703,0.008517200953933624,100,0.0008517200953933624,0.049093879975100715,0.05247387487767334,0.8155078982912651,0.0705478283381927,100,0.0070547828338192705,0.8015096786026401,0.8295061179798902,0.8269047619047619,0.04980607851292788,100,0.004980607851292788,0.8170221553770224,0.8367873684325015,0.9511209439528023,0.02459910022980555,100,0.002459910022980555,0.946239948785827,0.9560019391197777,0.17391874863127818,0.08435650509018373,100,0.008435650509018374,0.15718058789362532,0.19065690936893104,0.8914317740547911,0.04294196129089082,100,0.0042941961290890816,0.8829111573020157,0.8999523908075665,0.7926190476190476,0.052158015240151616,100,0.005215801524015162,0.7822697658189864,0.8029683294191087,0.9753392330383481,0.01199533414037295,100,0.001199533414037295,0.972959098504221,0.9777193675724752,0.3429628413581963,0.14988920282830073,100,0.014988920282830073,0.3132215716470274,0.37270411106936524
13,40.41919886827469,8.759333991772497,100,0.8759333991772497,38.68115696916648,42.1572407673829,0.8907738125680504,0.02733364130860182,100,0.002733364130860182,0.8853502251247394,0.8961974000113615,0.9345922882427307,0.01899892945989966,100,0.001899892945989966,0.9308224884530979,0.9383620880323634,0.19683085184106677,0.02847044191328836,100,0.002847044191328836,0.19118169849471645,0.2024800051874171,0.05026224580051669,0.008392252501830498,100,0.0008392252501830498,0.04859704083290413,0.051927450768129255,0.8110194059475859,0.06896615305358411,100,0.006896615305358411,0.7973350249501234,0.8247037869450484,0.8363095238095238,0.0484054532936538,100,0.0048405453293653795,0.8267048317120745,0.8459142159069731,0.9491445427728614,0.025541723615547376,100,0.0025541723615547375,0.944076510675791,0.9542125748699318,0.16704976834205693,0.07846780522842126,100,0.007846780522842125,0.15148005341325546,0.1826194832708584,0.8880082397555278,0.04869859936716067,100,0.004869859936716067,0.8783453811172443,0.8976710983938113,0.8003571428571429,0.05353079534314677,100,0.005353079534314677,0.7897354717019653,0.8109788140123204,0.9739233038348083,0.0144373928817962,100,0.00144373928817962,0.971058611865531,0.9767879958040856,0.3369793422616724,0.15295657098375853,100,0.015295657098375853,0.30662944016142196,0.3673292443619229
14,33.94678606033325,15.49083991376654,100,1.5490839913766539,30.873067345212547,37.02050477545396,0.8907165317033418,0.02830071081646466,100,0.002830071081646466,0.8851010566889443,0.8963320067177392,0.9331264924848997,0.02009185999760726,100,0.002009185999760726,0.9291398315652843,0.937113153404515,0.19542558661967546,0.02979745215483704,100,0.002979745215483704,0.18951312565170417,0.20133804758764676,0.049580099000440116,0.008618790477362349,100,0.0008618790477362349,0.04786994398370472,0.05129025401717551,0.8248906241818014,0.0678059027004753,100,0.006780590270047531,0.8114364620262111,0.8383447863373916,0.8346428571428571,0.04746533029842445,100,0.004746533029842445,0.8252247058437789,0.8440610084419353,0.953834808259587,0.023417012940388268,100,0.002341701294038827,0.9491883648564033,0.9584812516627707,0.1810538095657659,0.08428991116654552,100,0.008428991116654553,0.1643288625073286,0.1977787566242032,0.8879250331759614,0.04811341181681336,100,0.004811341181681336,0.8783782884434035,0.8974717779085193,0.8038095238095238,0.054815729450955836,100,0.005481572945095584,0.7929328938505076,0.8146861537685399,0.9738938053097346,0.013425765724510052,100,0.0013425765724510053,0.9712298421158745,0.9765577685035947,0.3352551617035925,0.14926610478672275,100,0.014926610478672275,0.3056375281620835,0.36487279524510147
15,20.54692531824112,6.860929944995149,100,0.6860929944995149,19.185567968190494,21.908282668291744,0.8913892812288252,0.028118850002431375,100,0.0028118850002431376,0.8858098913454312,0.8969686711122192,0.9350607529147352,0.020134593440547188,100,0.0020134593440547187,0.9310656127529318,0.9390558930765387,0.1936527366791009,0.027991588476252976,100,0.0027991588476252976,0.1880985982434597,0.1992068751147421,0.049263832519424205,0.008490296235637228,100,0.0008490296235637229,0.047579173547950035,0.050948491490898376,0.8165175620754845,0.07436036961408539,100,0.007436036961408539,0.8017628514840346,0.8312722726669345,0.8407142857142857,0.04926740614472909,100,0.004926740614472909,0.8309385634709793,0.8504900079575922,0.9505309734513274,0.026051902732198512,100,0.002605190273219851,0.9453617107490966,0.9557002361535583,0.18091003088678032,0.09175344134692988,100,0.009175344134692988,0.16270415751808348,0.19911590425547715,0.8927011098347074,0.044685704556454243,100,0.004468570455645424,0.8838344965872575,0.9015677230821573,0.8042857142857143,0.05483766221900226,100,0.005483766221900227,0.7934047323896828,0.8151666961817458,0.9753097345132743,0.01178192888786203,100,0.0011781928887862028,0.9729719442111061,0.9776475248154425,0.3491779451351059,0.14101447868443415,100,0.014101447868443414,0.32119761323262835,0.3771582770375835
16,21.98445307970047,8.072808276573321,100,0.8072808276573321,20.382632776772077,23.58627338262886,0.8926102913978943,0.027895886007245196,100,0.0027895886007245196,0.8870751424083845,0.8981454403874041,0.9350663716814159,0.019458651583102192,100,0.0019458651583102193,0.9312053530487954,0.9389273903140365,0.19300210328757722,0.029654102484796024,100,0.0029654102484796023,0.1871180860041359,0.19888612057101854,0.04913056751379024,0.008787489626540348,100,0.0008787489626540348,0.04738693892590312,0.05087419610167736,0.8202652083874794,0.06784886904244314,100,0.0067848869042443135,0.8068025207774812,0.8337278959974777,0.8380952380952381,0.04839436172506207,100,0.004839436172506207,0.8284927468056308,0.8476977293848454,0.9523008849557522,0.02374383722581324,100,0.002374383722581324,0.9475895925238355,0.9570121773876689,0.1843015978943416,0.08872503873345428,100,0.008872503873345428,0.16669662530583346,0.20190657048284977,0.8888970797273007,0.043181497484990894,100,0.004318149748499089,0.8803289337968402,0.8974652256577612,0.8090476190476191,0.05272418049065,100,0.005272418049065,0.7985859977788141,0.8195092403164241,0.9742772861356932,0.011521106359007053,100,0.0011521106359007054,0.9719912486818361,0.9765633235895503,0.33777768738247793,0.14026774540254083,100,0.014026774540254083,0.309945523563625,0.3656098512013309
17,21.735873684883117,6.649944649056889,100,0.6649944649056889,20.41638039490611,23.055366974860124,0.8928232157368835,0.02838418831095662,100,0.002838418831095662,0.8871911769765214,0.8984552544972456,0.9355488832701222,0.020407209936519906,100,0.0020407209936519908,0.9314996500810596,0.9395981164591848,0.19297813174145018,0.02825915700194377,100,0.0028259157001943773,0.18737090190537029,0.19858536157753007,0.04914906109529132,0.008462688127522175,100,0.0008462688127522175,0.04746988017142945,0.05082824201915318,0.813791448059994,0.06956495313229065,100,0.006956495313229065,0.7999882521358535,0.8275946439841346,0.8419047619047619,0.049652356570212886,100,0.004965235657021288,0.8320526571454789,0.8517568666640449,0.9498820058997051,0.024214630664027497,100,0.0024214630664027496,0.9450772978357083,0.9546867139637019,0.18276314375718905,0.08741121059281137,100,0.008741121059281137,0.1654188631754944,0.2001074243388837,0.8863526261702952,0.0472812059129918,100,0.00472812059129918,0.8769710091438946,0.8957342431966958,0.8077380952380951,0.054656060792309225,100,0.005465606079230923,0.7968931470049914,0.8185830434711989,0.9733628318584071,0.01381985778182836,100,0.001381985778182836,0.9706206722504854,0.9761049914663288,0.3373927523416838,0.14121181293465218,100,0.014121181293465217,0.30937326504276513,0.3654122396406025
