classifier,basis,n_coeffs,poly_mean,og_mean,diff_mean,p_value,p_adjusted,significant_adj
RandomForest,chebyshev,5,0.728082690932096,0.828334018080404,-0.10025132714830809,0.001953125,0.15625,False
RandomForest,chebyshev,10,0.7291452525818654,0.828334018080404,-0.0991887654985388,0.001953125,0.15625,False
RandomForest,chebyshev,15,0.70082767781378,0.828334018080404,-0.1275063402666241,0.001953125,0.15625,False
RandomForest,chebyshev,20,0.6953972054742755,0.828334018080404,-0.1329368126061285,0.001953125,0.15625,False
RandomForest,chebyshev,25,0.6899235432462414,0.828334018080404,-0.13841047483416272,0.001953125,0.15625,False
RandomForest,chebyshev,30,0.6830949478175758,0.828334018080404,-0.145239070262828,0.001953125,0.15625,False
RandomForest,chebyshev,35,0.6865274940697538,0.828334018080404,-0.14180652401065025,0.001953125,0.15625,False
RandomForest,chebyshev,40,0.6830453079599884,0.828334018080404,-0.14528871012041558,0.001953125,0.15625,False
RandomForest,chebyshev,45,0.6797582084936453,0.828334018080404,-0.1485758095867587,0.001953125,0.15625,False
RandomForest,chebyshev,50,0.6828155663223642,0.828334018080404,-0.14551845175803985,0.001953125,0.15625,False
RandomForest,legendre,5,0.7689233528296471,0.828334018080404,-0.05941066525075682,0.001953125,0.15625,False
RandomForest,legendre,10,0.7740151682647655,0.828334018080404,-0.05431884981563856,0.001953125,0.15625,False
RandomForest,legendre,15,0.7755577825433786,0.828334018080404,-0.05277623553702544,0.001953125,0.15625,False
RandomForest,legendre,20,0.7758421183939377,0.828334018080404,-0.05249189968646626,0.001953125,0.15625,False
RandomForest,legendre,25,0.7681626492455333,0.828334018080404,-0.06017136883487077,0.001953125,0.15625,False
RandomForest,legendre,30,0.7628255018665246,0.828334018080404,-0.06550851621387938,0.001953125,0.15625,False
RandomForest,legendre,35,0.7588838973239608,0.828334018080404,-0.0694501207564433,0.001953125,0.15625,False
RandomForest,legendre,40,0.7510167297419578,0.828334018080404,-0.0773172883384462,0.001953125,0.15625,False
RandomForest,legendre,45,0.7418361974375853,0.828334018080404,-0.08649782064281872,0.001953125,0.15625,False
RandomForest,legendre,50,0.7248776947619671,0.828334018080404,-0.10345632331843699,0.001953125,0.15625,False
LogisticRegression,chebyshev,5,0.807146775973402,0.79875861256815,0.008388163405251937,0.064453125,0.580078125,False
LogisticRegression,chebyshev,10,0.821495720841597,0.79875861256815,0.022737108273446972,0.001953125,0.15625,False
LogisticRegression,chebyshev,15,0.8102465276574338,0.79875861256815,0.011487915089283684,0.01953125,0.1953125,False
LogisticRegression,chebyshev,20,0.8063039768413619,0.79875861256815,0.007545364273211896,0.013671875,0.166015625,False
LogisticRegression,chebyshev,25,0.8088893413880209,0.79875861256815,0.010130728819870904,0.009765625,0.166015625,False
LogisticRegression,chebyshev,30,0.813261563222081,0.79875861256815,0.014502950653930891,0.001953125,0.15625,False
LogisticRegression,chebyshev,35,0.8114805859865335,0.79875861256815,0.01272197341838357,0.001953125,0.15625,False
LogisticRegression,chebyshev,40,0.8093458462619075,0.79875861256815,0.010587233693757647,0.00390625,0.15625,False
LogisticRegression,chebyshev,45,0.8028965492111236,0.79875861256815,0.0041379366429736605,0.275390625,1.0,False
LogisticRegression,chebyshev,50,0.8043085628193886,0.79875861256815,0.0055499502512386,0.193359375,1.0,False
LogisticRegression,legendre,5,0.8106119165016921,0.79875861256815,0.01185330393354216,0.001953125,0.15625,False
LogisticRegression,legendre,10,0.8181842897349201,0.79875861256815,0.019425677166770107,0.001953125,0.15625,False
LogisticRegression,legendre,15,0.8129781415836487,0.79875861256815,0.014219529015498677,0.00390625,0.15625,False
LogisticRegression,legendre,20,0.8141475468591256,0.79875861256815,0.015388934290975565,0.00390625,0.15625,False
LogisticRegression,legendre,25,0.8135984044884397,0.79875861256815,0.014839791920289691,0.00390625,0.15625,False
LogisticRegression,legendre,30,0.8158629162743825,0.79875861256815,0.017104303706232494,0.005859375,0.15625,False
LogisticRegression,legendre,35,0.8149754349182363,0.79875861256815,0.016216822350086414,0.00390625,0.15625,False
LogisticRegression,legendre,40,0.8114047351005823,0.79875861256815,0.012646122532432146,0.00390625,0.15625,False
LogisticRegression,legendre,45,0.8081060363145115,0.79875861256815,0.009347423746361494,0.009765625,0.166015625,False
LogisticRegression,legendre,50,0.8037099264194156,0.79875861256815,0.004951313851265582,0.130859375,1.0,False
XGBoost,chebyshev,5,0.7505291033658762,0.8191259983800154,-0.0685968950141394,0.001953125,0.15625,False
XGBoost,chebyshev,10,0.7542676637625735,0.8191259983800154,-0.06485833461744205,0.001953125,0.15625,False
XGBoost,chebyshev,15,0.7431031226256891,0.8191259983800154,-0.07602287575432641,0.001953125,0.15625,False
XGBoost,chebyshev,20,0.7288561785660492,0.8191259983800154,-0.09026981981396619,0.001953125,0.15625,False
XGBoost,chebyshev,25,0.7237044257974684,0.8191259983800154,-0.09542157258254709,0.001953125,0.15625,False
XGBoost,chebyshev,30,0.7206212547725235,0.8191259983800154,-0.09850474360749198,0.001953125,0.15625,False
XGBoost,chebyshev,35,0.7244923510367176,0.8191259983800154,-0.0946336473432979,0.001953125,0.15625,False
XGBoost,chebyshev,40,0.7230344929548795,0.8191259983800154,-0.09609150542513598,0.001953125,0.15625,False
XGBoost,chebyshev,45,0.7222193078797116,0.8191259983800154,-0.0969066905003039,0.001953125,0.15625,False
XGBoost,chebyshev,50,0.7249356168639502,0.8191259983800154,-0.09419038151606515,0.001953125,0.15625,False
XGBoost,legendre,5,0.782741198961505,0.8191259983800154,-0.036384799418510694,0.001953125,0.15625,False
XGBoost,legendre,10,0.7864740072644257,0.8191259983800154,-0.032651991115589876,0.001953125,0.15625,False
XGBoost,legendre,15,0.7856389300519487,0.8191259983800154,-0.03348706832806679,0.001953125,0.15625,False
XGBoost,legendre,20,0.7878165252497025,0.8191259983800154,-0.03130947313031311,0.001953125,0.15625,False
XGBoost,legendre,25,0.775010724781242,0.8191259983800154,-0.044115273598773506,0.001953125,0.15625,False
XGBoost,legendre,30,0.7751571858747511,0.8191259983800154,-0.04396881250526432,0.001953125,0.15625,False
XGBoost,legendre,35,0.7723188118868689,0.8191259983800154,-0.04680718649314665,0.001953125,0.15625,False
XGBoost,legendre,40,0.7720295865220329,0.8191259983800154,-0.04709641185798256,0.001953125,0.15625,False
XGBoost,legendre,45,0.7589387275564763,0.8191259983800154,-0.06018727082353921,0.001953125,0.15625,False
XGBoost,legendre,50,0.7570692780025507,0.8191259983800154,-0.06205672037746481,0.001953125,0.15625,False
SVM_RBF,chebyshev,5,0.8111994645158912,0.7994505215577139,0.011748942958177333,0.009765625,0.166015625,False
SVM_RBF,chebyshev,10,0.7960085460415882,0.7994505215577139,-0.003441975516125584,0.193359375,1.0,False
SVM_RBF,chebyshev,15,0.786643054322439,0.7994505215577139,-0.012807467235275071,0.005859375,0.15625,False
SVM_RBF,chebyshev,20,0.7810016149303798,0.7994505215577139,-0.01844890662733408,0.009765625,0.166015625,False
SVM_RBF,chebyshev,25,0.7802890279142336,0.7994505215577139,-0.01916149364348052,0.005859375,0.15625,False
SVM_RBF,chebyshev,30,0.7772973259040435,0.7994505215577139,-0.02215319565367042,0.00390625,0.15625,False
SVM_RBF,chebyshev,35,0.7795237149601986,0.7994505215577139,-0.019926806597515466,0.001953125,0.15625,False
SVM_RBF,chebyshev,40,0.7794230539158624,0.7994505215577139,-0.020027467641851517,0.009765625,0.166015625,False
SVM_RBF,chebyshev,45,0.7758229714678248,0.7994505215577139,-0.023627550089889215,0.001953125,0.15625,False
SVM_RBF,chebyshev,50,0.7839833799787084,0.7994505215577139,-0.015467141579005661,0.009765625,0.166015625,False
SVM_RBF,legendre,5,0.8098645827166913,0.7994505215577139,0.010414061158977205,0.001953125,0.15625,False
SVM_RBF,legendre,10,0.7984714752832915,0.7994505215577139,-0.0009790462744224016,0.625,1.0,False
SVM_RBF,legendre,15,0.7949110924666111,0.7994505215577139,-0.00453942909110282,0.375,1.0,False
SVM_RBF,legendre,20,0.7915647758903551,0.7994505215577139,-0.007885745667358812,0.130859375,1.0,False
SVM_RBF,legendre,25,0.7906298642906795,0.7994505215577139,-0.008820657267034415,0.232421875,1.0,False
SVM_RBF,legendre,30,0.7858946566755423,0.7994505215577139,-0.013555864882171764,0.00390625,0.15625,False
SVM_RBF,legendre,35,0.7777773578064451,0.7994505215577139,-0.02167316375126893,0.001953125,0.15625,False
SVM_RBF,legendre,40,0.7671458488408527,0.7994505215577139,-0.03230467271686131,0.001953125,0.15625,False
SVM_RBF,legendre,45,0.7698587676497897,0.7994505215577139,-0.02959175390792431,0.00390625,0.15625,False
SVM_RBF,legendre,50,0.769883498953839,0.7994505215577139,-0.029567022603875004,0.005859375,0.15625,False
